collected_at,collection_status,collection_note,chart_year,rank,movie_name,worldwide_gross_usd,domestic_gross_usd,domestic_share_pct,foreign_gross_usd,foreign_share_pct,domestic_release_date_from_group,domestic_opening_gross_from_group_usd,domestic_total_gross_from_group_usd,open_date,genre,rating,distributor,opening_gross_usd,opening_theaters,widest_release_theaters,running_time,source_chart_url,source_release_group_url,source_domestic_release_url
2026-04-14T16:06:15.862Z,success,,2017,67,Captain Underpants: The First Epic Movie,125427681,73921000,58.9,51506681,41.1,"Jun 2, 2017",23851539,73921000,"Jun 2, 2017",Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG,Twentieth Century Fox,23851539,3434,3529,1 hr 29 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2850247173/,https://www.boxofficemojo.com/release/rl1867023873/
2026-04-14T16:06:15.862Z,success,,2017,68,The Lego Ninjago Movie,123681555,59281555,47.9,64400000,52.1,"Sep 22, 2017",20433071,59281555,"Sep 22, 2017",Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi|Thriller,PG,Warner Bros.,20433071,4047,4047,1 hr 41 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr912806405/,https://www.boxofficemojo.com/release/rl1567065601/
2026-04-14T16:06:15.862Z,success,,2017,69,Secret Superstar,122026260,,,122026260,100,"Oct 18, 2017",,13850,"Oct 18, 2017",Drama|Music,,,,,,2 hr 30 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2387956229/,https://www.boxofficemojo.com/release/rl4077028865/
2026-04-14T16:06:15.862Z,success,,2017,70,The Commuter,119942387,36343858,30.3,83598529,69.7,"Jan 12, 2018",13701452,36343858,"Jan 12, 2018",Action|Mystery|Thriller,PG-13,Lionsgate,13701452,2892,2892,1 hr 44 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr4294201861/,https://www.boxofficemojo.com/release/rl2155775489/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,71,Forever Young,119055731,,,119055731,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3124843013/,
2026-04-14T16:06:15.862Z,success,,2017,72,The Dark Tower,113231078,50701325,44.8,62529753,55.2,"Aug 4, 2017",19153698,50701325,"Aug 4, 2017",Action|Adventure|Drama|Fantasy|Sci-Fi|Western,PG-13,Sony Pictures Releasing,19153698,3451,3451,1 hr 35 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2280739333/,https://www.boxofficemojo.com/release/rl2035058177/
2026-04-14T16:06:15.862Z,success,,2017,73,Buddies in India,110155128,293194,0.3,109861934,99.7,"Jan 27, 2017",181705,293194,"Jan 27, 2017",Action|Comedy,,China Lion Film Distribution,181705,55,55,1 hr 39 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr175329797/,https://www.boxofficemojo.com/release/rl671122945/
2026-04-14T16:06:15.862Z,success,,2017,74,Along With the Gods: The Two Worlds,109383972,1908823,1.7,107475149,98.3,"Dec 22, 2017",185546,1908823,"Dec 22, 2017",Action|Adventure|Drama|Fantasy|Thriller,,Well Go USA Entertainment,185546,17,35,2 hr 19 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3791999493/,https://www.boxofficemojo.com/release/rl3422717441/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,75,Immortal Demon Slayer,103818506,,,103818506,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3873067525/,
2026-04-14T16:06:15.862Z,success,,2017,76,Jigsaw,102952888,38052832,37,64900056,63,"Oct 27, 2017",16640452,38052832,"Oct 27, 2017",Horror|Mystery|Thriller,R,Lionsgate,16640452,2941,2941,1 hr 32 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr55267845/,https://www.boxofficemojo.com/release/rl2172552705/
2026-04-14T16:06:15.862Z,success,,2017,77,Life,100541806,30234022,30.1,70307784,69.9,"Mar 24, 2017",12501936,30234022,"Mar 24, 2017",Horror|Sci-Fi|Thriller,R,Sony Pictures Releasing,12501936,3146,3146,1 hr 44 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2791854597/,https://www.boxofficemojo.com/release/rl2340390401/
2026-04-14T16:06:15.862Z,success,,2017,78,Atomic Blonde,100014025,51687870,51.7,48326155,48.3,"Jul 28, 2017",18286420,51687870,"Jul 28, 2017",Action|Thriller,R,Focus Features,18286420,3304,3326,1 hr 55 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2634306053/,https://www.boxofficemojo.com/release/rl1233028609/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,79,Legend of the Demon Cat,97051623,,,97051623,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr1241862661/,
2026-04-14T16:06:15.862Z,success,,2017,80,The Shack,96942115,57386418,59.2,39555697,40.8,"Mar 3, 2017",16172119,57386418,"Mar 3, 2017",Drama|Fantasy,PG-13,Lionsgate,16172119,2888,2888,2 hr 12 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr1198281221/,https://www.boxofficemojo.com/release/rl2642183681/
2026-04-14T16:06:15.862Z,success,,2017,81,Chasing the Dragon,87965942,456854,0.5,87509088,99.5,"Sep 29, 2017",138346,456854,"Sep 29, 2017",Action|Biography|Crime|History,,Well Go USA Entertainment,138346,52,52,2 hr 8 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr36327941/,https://www.boxofficemojo.com/release/rl2130871809/
2026-04-14T16:06:15.862Z,success,,2017,82,Tiger Zinda Hai,87320000,5560921,6.4,81759079,93.6,"Dec 22, 2017",1787108,5560921,"Dec 22, 2017",Action|Adventure|Thriller,,Yash Raj Films,1787108,299,299,2 hr 41 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2251575813/,https://www.boxofficemojo.com/release/rl486901249/
2026-04-14T16:06:15.862Z,success,,2017,83,A Taxi Driver,86252940,1527829,1.8,84725111,98.2,"Aug 11, 2017",331854,1527829,"Aug 11, 2017",Action|Drama|History,,Well Go USA Entertainment,331854,41,41,2 hr 17 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2482721285/,https://www.boxofficemojo.com/release/rl2231600641/
2026-04-14T16:06:15.862Z,success,,2017,84,Going in Style,85218541,45018541,52.8,40200000,47.2,"Apr 7, 2017",11932330,45018541,"Apr 7, 2017",Comedy|Crime,PG-13,Warner Bros.,11932330,3061,3076,1 hr 36 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr242373125/,https://www.boxofficemojo.com/release/rl2625406465/
2026-04-14T16:06:15.862Z,success,,2017,85,Rings,83080890,27793018,33.5,55287872,66.5,"Feb 3, 2017",13002632,27793018,"Feb 3, 2017",Drama|Horror|Mystery|Romance,PG-13,Paramount Pictures,13002632,2931,2931,1 hr 42 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr209670661/,https://www.boxofficemojo.com/release/rl275547649/
2026-04-14T16:06:15.862Z,success,,2017,86,Once Upon A Time,82886178,485728,0.6,82400450,99.4,"Aug 11, 2017",249933,485728,"Aug 11, 2017",Action|Adventure|Drama|Fantasy|Romance,,Well Go USA Entertainment,249933,51,51,1 hr 49 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2413974021/,https://www.boxofficemojo.com/release/rl3892545025/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,87,Paradox,79226860,,,79226860,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr1666863621/,
2026-04-14T16:06:15.862Z,success,,2017,88,Lady Bird,78965611,48958273,62,30007338,38,"Nov 3, 2017",364437,48958273,,Comedy|Drama,R,A24,364437,4,1557,1 hr 34 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr341332485/,https://www.boxofficemojo.com/release/rl1023575553/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,89,Fantastica: A Boonie Bears Adventure,77151096,,,77151096,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2548978181/,
2026-04-14T16:06:15.862Z,success,,2017,90,The Nut Job 2: Nutty by Nature,68743485,28370522,41.3,40372963,58.7,"Aug 11, 2017",8342311,28370522,"Aug 11, 2017",Adventure|Animation|Comedy|Crime|Family,PG,Open Road Films (II),8342311,4003,4003,1 hr 31 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr540955141/,https://www.boxofficemojo.com/release/rl946243073/
2026-04-14T16:06:15.862Z,success,,2017,91,American Assassin,67234188,36249674,53.9,30984514,46.1,"Sep 15, 2017",14846778,36249674,"Sep 15, 2017",Action|Thriller,R,Lionsgate,14846778,3154,3154,1 hr 51 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr810308101/,https://www.boxofficemojo.com/release/rl2650834433/
2026-04-14T16:06:15.862Z,success,,2017,92,Victoria & Abdul,66558465,22245070,33.4,44313395,66.6,"Sep 22, 2017",158845,22245070,,Biography|Comedy|Drama|History,PG-13,Focus Features,158845,4,1060,1 hr 51 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3745010181/,https://www.boxofficemojo.com/release/rl620856833/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,93,Suck Me Shakespeer 3,64236772,,,64236772,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr4162540037/,
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,94,Detective Conan: Crimson Love Letter,63144805,,,63144805,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr204362245/,
2026-04-14T16:06:15.862Z,success,,2017,95,The Mountain Between Us,62832209,30348555,48.3,32483654,51.7,"Oct 6, 2017",10551336,30348555,"Oct 6, 2017",Drama|Thriller,PG-13,Twentieth Century Fox,10551336,3088,3259,1 hr 52 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr4028453381/,https://www.boxofficemojo.com/release/rl2691008001/
2026-04-14T16:06:15.862Z,success,,2017,96,The Star,62812974,40852824,65,21960150,35,"Nov 17, 2017",9812674,40852824,"Nov 17, 2017",Adventure|Animation|Comedy|Family|Fantasy,PG,Sony Pictures Releasing,9812674,2837,2976,1 hr 26 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr358437381/,https://www.boxofficemojo.com/release/rl1149076993/
2026-04-14T16:06:15.862Z,success,,2017,97,How to Be a Latin Lover,62547032,32149404,51.4,30397628,48.6,"Apr 28, 2017",12252439,32149404,"Apr 28, 2017",Comedy|Drama,PG-13,Pantelion Films,12252439,1118,1203,1 hr 55 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr1272271365/,https://www.boxofficemojo.com/release/rl1350469121/
2026-04-14T16:06:15.862Z,success,,2017,98,47 Meters Down,62187529,44307191,71.2,17880338,28.8,"Jun 16, 2017",11205561,44307191,"Jun 16, 2017",Horror|Mystery|Thriller,PG-13,Entertainment Studios Motion Pictures,11205561,2270,2471,1 hr 29 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr357913093/,https://www.boxofficemojo.com/release/rl1426097665/
2026-04-14T16:06:15.862Z,success,,2017,99,"Everything, Everything",61721140,34121140,55.3,27600000,44.7,"May 19, 2017",11727390,34121140,"May 19, 2017",Drama|Romance,PG-13,Warner Bros.,11727390,2801,2801,1 hr 36 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2321699333/,https://www.boxofficemojo.com/release/rl2181137921/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,61153455,,,61153455,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3654504965/,
